id,games,wins,losses,losses_ot,points,points_pct,goals,opp_goals,srs,sos,points_pct_old,ro_wins,created_at,updated_at,team_name
1,30,19,7,4,42,0,94,68,0,0,0,18,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Montreal Canadiens
2,30,16,11,3,35,0,73,82,0,0,0,13,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Ottawa Senators
3,32,16,13,3,35,0,77,79,0,0,0,14,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Boston Bruins
4,32,14,13,5,33,0,77,87,0,0,0,12,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Florida Panthers
5,31,15,14,2,32,0,89,88,0,0,0,13,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Tampa Bay Lightning
6,31,13,14,4,30,0,72,85,0,0,0,9,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Detroit Red Wings
7,29,12,11,6,30,0,65,77,0,0,0,11,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Buffalo Sabres
8,29,11,11,7,29,0,83,90,0,0,0,11,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Toronto Maple Leafs
9,31,20,7,4,44,0,108,88,0,0,0,18,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Pittsburgh Penguins
10,32,21,10,1,43,0,108,72,1,0,0,21,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,New York Rangers
11,28,19,5,4,42,0,94,58,1,0,0,18,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Columbus Blue Jackets
12,32,19,10,3,41,0,105,97,0,0,0,16,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Philadelphia Flyers
13,29,19,7,3,41,0,80,64,0,0,0,18,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Washington Capitals
14,30,12,11,7,31,0,80,86,0,0,0,11,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Carolina Hurricanes
15,29,12,11,6,30,0,71,87,0,0,0,10,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,New Jersey Devils
16,30,11,13,6,28,0,79,93,0,0,0,10,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,New York Islanders
17,32,20,8,4,44,0,88,75,0,0,0,18,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Chicago Blackhawks
18,29,17,8,4,38,0,85,59,0,0,0,16,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Minnesota Wild
19,31,17,10,4,38,0,87,87,0,0,0,16,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,St. Louis Blues
20,33,14,16,3,31,0,86,99,0,0,0,12,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Winnipeg Jets
21,29,13,12,4,30,0,86,86,0,0,0,13,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Nashville Predators
22,32,12,14,6,30,0,81,100,0,0,0,12,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Dallas Stars
23,29,11,17,1,23,0,64,93,0,0,0,11,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Colorado Avalanche
24,31,19,11,1,39,0,79,68,0,0,0,17,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,San Jose Sharks
25,31,16,10,5,37,0,87,84,0,0,0,15,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Anaheim Ducks
26,32,15,12,5,35,0,94,88,0,0,0,14,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Edmonton Oilers
27,33,16,15,2,34,0,85,96,0,0,0,14,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Calgary Flames
28,30,16,12,2,34,0,79,77,0,0,0,15,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Los Angeles Kings
29,31,13,16,2,28,0,77,96,0,0,0,10,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Vancouver Canucks
30,30,11,14,5,27,0,69,93,0,0,0,8,2016-12-16 16:08:30 UTC,2016-12-18 00:02:03 UTC,Arizona Coyotes
31,30,19,7,4,42,0,94,68,0,0,0,18,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Montreal Canadiens
32,30,16,11,3,35,0,73,82,0,0,0,13,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Ottawa Senators
33,32,16,13,3,35,0,77,79,0,0,0,14,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Boston Bruins
34,32,14,13,5,33,0,77,87,0,0,0,12,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Florida Panthers
35,31,15,14,2,32,0,89,88,0,0,0,13,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Tampa Bay Lightning
36,31,13,14,4,30,0,72,85,0,0,0,9,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Detroit Red Wings
37,29,12,11,6,30,0,65,77,0,0,0,11,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Buffalo Sabres
38,29,11,11,7,29,0,83,90,0,0,0,11,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Toronto Maple Leafs
39,31,20,7,4,44,0,108,88,0,0,0,18,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Pittsburgh Penguins
40,32,21,10,1,43,0,108,72,1,0,0,21,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,New York Rangers
41,28,19,5,4,42,0,94,58,1,0,0,18,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Columbus Blue Jackets
42,32,19,10,3,41,0,105,97,0,0,0,16,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Philadelphia Flyers
43,29,19,7,3,41,0,80,64,0,0,0,18,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Washington Capitals
44,30,12,11,7,31,0,80,86,0,0,0,11,2016-12-17 23:45:55 UTC,2016-12-17 23:45:55 UTC,Carolina Hurricanes
